113.92, 556.8000000000001
152.96, 567.6800000000001
174.08, 595.2
168.96, 629.76
140.8, 636.16
199.04, 579.84
197.76, 640.64
227.84, 604.16
245.12, 638.72
267.52, 618.24
300.8, 652.16
284.8, 579.84
353.92, 569.6
412.8, 558.72
453.76, 554.24
517.76, 567.04
586.24, 583.6800000000001
680.96, 608.64
797.44, 640.64
818.5600000000001, 675.84
812.16, 716.8000000000001
784.0, 744.96
718.08, 767.36
650.24, 781.44
578.5600000000001, 791.04
514.5600000000001, 750.08
436.48, 727.6800000000001
375.04, 698.24
329.6, 673.92
329.6, 627.84
391.04, 642.5600000000001
394.24, 683.52
426.24, 606.72
501.76, 702.08
480.0, 616.96
464.0, 670.08
551.6800000000001, 640.64
556.8000000000001, 613.12
631.04, 704.64
583.6800000000001, 746.24
559.36, 700.16
598.4, 683.52
640.64, 640.64
684.16, 656.64
684.8000000000001, 715.52
723.2, 701.44
721.92, 673.28
767.36, 680.32
792.32, 705.28
